statefip,puma,mpop2000,pumapop2000,mpopshare2000,metropuma03,mpop2010,pumapop2010,mpopshare2010,metropuma13
12,5703,116910,116910,1,1,147714,147714,1,1
12,5704,147493,147493,1,1,154649,154649,1,1
12,5705,105521,105521,1,1,146416,146416,1,1
12,5706,101493,101493,1,1,125158,125158,1,1
12,5707,133537,133537,1,1,178275,178275,1,1
12,5708,106187,106187,1,1,180836,180836,1,1
12,6100,112947,112947,1,1,138028,138028,1,1
12,6300,80852,172034,0.4699769,0,107789,192074,0.5611848,1
12,6901,83024,83024,1,1,100839,100839,1,1
12,6902,52511,91943,0.571123,1,131679,131679,1,1
12,6903,74992,94662,0.7922097,1,157954,157954,1,1
12,7101,99213,99213,1,1,120296,120296,1,1
12,7102,108567,108567,1,1,158207,158207,1,1
12,7103,77570,77570,1,1,136315,136315,1,1
12,7104,88751,88751,1,1,100944,100944,1,1
12,7105,66788,66788,1,1,102992,102992,1,1
12,7300,117229,117229,1,1,139184,139184,1,1
12,7301,122223,122223,1,1,136303,136303,1,1
12,8101,76297,76297,1,1,107538,107538,1,1
12,8102,111050,111050,1,1,113948,113948,1,1
12,8103,76655,76655,1,1,101347,101347,1,1
12,8301,87121,87121,1,1,100021,100021,1,1
12,8302,89822,89822,1,1,102804,102804,1,1
12,8303,81973,81973,1,1,128473,128473,1,1
12,8500,126734,126734,1,1,146318,146318,1,1
12,8601,88883,88883,1,1,114465,114465,1,1
12,8602,96607,96607,1,1,101323,101323,1,1
12,8603,93259,93259,1,1,100720,100720,1,1
12,8604,87300,87300,1,1,100433,100433,1,1
12,8605,106383,106383,1,1,105499,105499,1,1
12,8606,102568,102568,1,1,101112,101112,1,1
12,8607,102629,102629,1,1,100459,100459,1,1
12,8608,91287,91287,1,1,112930,112930,1,1
12,8609,100947,100947,1,1,101006,101006,1,1
12,8610,95069,95069,1,1,100923,100923,1,1
12,8611,101160,101160,1,1,101124,101124,1,1
12,8612,100137,100137,1,1,100297,100297,1,1
12,8613,88391,88391,1,1,101386,101386,1,1
12,8614,81678,81678,1,1,101343,101343,1,1
12,8615,95894,95894,1,1,103186,103186,1,1
12,8616,98610,98610,1,1,101136,101136,1,1
12,8617,101896,101896,1,1,102442,102442,1,1
12,8618,87138,87138,1,1,106294,106294,1,1
